OBJECTID,DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_,CROSS_STRE,OFF_STREET,CONTRIBUTI,CONTRIBU_1,CONTRIBU_2,CONTRIBU_3,CONTRIBU_4,UNIQUE_KEY,VEHICLE_TY,VEHICLE__1,VEHICLE__2,VEHICLE__3,VEHICLE__4,incidence,IndexID,OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area_1,OBJECTID_12,GEOID_1,B00001e1,B00001m1,B00002e1,B00002m1,OBJECTID_2,GEOID_12,B19001e1,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,SHAPE_Length,SHAPE_Area,Junction_Longitude,Junction_latitude,Dist_2_Parking
1,,,,,,,,,,,,,,,,,,,,,,,,1,36,47,5202,0,3.6047E+11,Block Group 0,G5030,S,0,440002,40.618244,-74.0463778,15000US360470052020,0.028408178,4.56936E-05,3815,15000US360470052020,54,-1,34,-1,3815,15000US360470052020,358,50,20,25,8,14,33,28,10,18,16,23,6,14,9,16,12,23,6,15,11,16,40,32,61,33,64,38,26,26,18,19,18,18,94.24777961,706.8583471,-74.0415955,40.6205101,821.3356934
2,,,,,,,,,,,,,,,,,,,,,,,,2,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0414276,40.6219788,791.4301758
3,,,,,,,,,,,,,,,,,,,,,,,,3,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0413055,40.6208649,790.2041626
4,,,,,,,,,,,,,,,,,,,,,,,,4,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0412598,40.6205406,792.4504395
5,,,,,,,,,,,,,,,,,,,,,,,,5,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0412598,40.6205406,792.4504395
6,,,,,,,,,,,,,,,,,,,,,,,,6,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0411606,40.6199913,798.2081299
7,,,,,,,,,,,,,,,,,,,,,,,,7,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0411758,40.6205444,785.3242188
8,,,,,,,,,,,,,,,,,,,,,,,,8,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0412674,40.6220818,777.972229
9,,,,,,,,,,,,,,,,,,,,,,,,9,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410843,40.6205559,777.7335205
10,,,,,,,,,,,,,,,,,,,,,,,,10,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410843,40.6205559,777.7335205
11,,,,,,,,,,,,,,,,,,,,,,,,11,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.041481,40.6250534,866.222168
12,,,,,,,,,,,,,,,,,,,,,,,,12,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410156,40.6201248,782.7538452
13,,,,,,,,,,,,,,,,,,,,,,,,13,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471,-74.0407486,40.6181145,796.6955566
14,,,,,,,,,,,,,,,,,,,,,,,,14,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.0413208,40.6252136,860.9515381
15,,,,,,,,,,,,,,,,,,,,,,,,15,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0408783,40.6205711,760.1766357
16,,,,,,,,,,,,,,,,,,,,,,,,16,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471,-74.0406494,40.618351,796.5593262
17,,,,,,,,,,,,,,,,,,,,,,,,17,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471,-74.0404434,40.6166763,740.6104736
18,,,,,,,,,,,,,,,,,,,,,,,,18,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471,-74.0403214,40.6168137,731.4915771
19,,,,,,,,,,,,,,,,,,,,,,,,19,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471,-74.0400925,40.615387,710.1447754
20,,,,,,,,,,,,,,,,,,,,,,,,20,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0411911,40.6281281,1029.988648
